"Name","Component","Side","Centre X","Centre Y","Rotation"
"ZD1","ねじ穴　M3","Top","403.23","535.62","0.00"
"ZD2","ねじ穴　M3","Top","403.10","462.79","0.00"
"ZD3","ねじ穴　M3","Top","561.85","535.30","0.00"
"ZD4","ねじ穴　M3","Top","562.23","462.53","0.00"
"C7","ジャイロ","Top","484.82","500.70","180.00"
"J1","Alphaplus_TB111-2-2-U-1-2","Top","553.05","495.06","270.00"
"U1","AZ1086H-3.3","Top","460.25","500.70","180.00"
"PW1","BATTERY+","Top","406.70","504.91","0.00"
"PW2","BATTERY-","Top","406.50","494.81","0.00"
"aircylinder","BOX-10P","Top","531.95","528.66","0.00"
"sensor","BOX-10P","Top","550.81","528.66","0.00"
"C1","C-chip","Top","438.93","505.45","270.00"
"C2","C-chip","Top","413.96","504.20","90.00"
"CC1","CC","Top","445.85","496.50","180.00"
"CC3","CC","Top","471.13","500.99","180.00"
"C5","EEE1EA100WAR","Top","418.86","503.23","270.00"
"C6","EEE1EA100WAR","Top","444.15","506.48","90.00"
"LED1","FA1111C-TR","Top","404.73","480.28","270.00"
"IC1","MCP2551-I_P","Top","553.99","480.76","0.00"
"P2","OKL-T/6-W12","Top","429.80","500.33","0.00"
"R1","R-1608","Top","506.16","532.71","180.00"
"R2","R-1608","Top","414.05","508.82","270.00"
"R3","R-1608","Top","413.97","490.29","90.00"
"R4","R-1608","Top","413.97","495.06","270.00"
"R5","R-1608","Top","404.70","475.10","270.00"
"R6","R-1608","Top","510.33","532.79","180.00"
"R7","R-1608","Top","514.06","532.68","0.00"
"R8","R-1608","Top","518.48","532.43","0.00"
"R9","R-1608","Top","560.30","480.77","270.00"
"servo","SGR-3P","Top","530.86","497.56","90.00"
"encoderA","SGR-4P","Top","540.87","481.30","90.00"
"encoderB","SGR-4P","Top","531.48","480.98","90.00"
"encoderC","SGR-4P","Top","521.21","481.07","90.00"
"encoderD","SGR-4P","Top","511.64","481.11","90.00"
"MOTORA","SGR-5P","Top","510.91","513.44","270.00"
"MOTORB","SGR-5P","Top","520.96","513.22","270.00"
"MOTORC","SGR-5P","Top","530.86","513.13","270.00"
"MOTORD","SGR-5P","Top","539.43","513.22","270.00"
"MOTORE","SGR-5P","Top","548.32","513.13","270.00"
"MOTORF","SGR-5P","Top","556.68","512.43","270.00"
"CN12","SGR-8P","Top","510.31","528.15","0.00"
"CONN1","STM32bord","Top","439.74","499.32","270.00"
"SW2","Toggle switch","Top","407.04","525.78","270.00"
